State,clintonVotes,trumpVotes,clintonPercent,trumpPercent,Poupulation,Regestered_Voters,Total_Voted,Percent_Regest,Percent_Voting_Poup,Percent_Voting_Regest,Num_Not_Voting,Margin,GenZ_Power
Alabama,718084,1306925,34.6,62.9,497,283,212,56.94,42.66,74.91,285,28.3,1207.278
Alaska,93007,130415,37.7,52.9,65,32,26,49.23,40,81.25,39,15.2,608
Arizona,936250,1021154,45.4,49.5,654,346,263,52.91,40.21,76.01,391,4.1,164.861
Arkansas,378729,677904,33.8,60.4,180,92,62,51.11,34.44,67.39,118,26.6,916.104
California,7362490,3916209,61.6,32.8,3308,1656,1411,50.06,42.65,85.21,1897,-28.8,1228.32
Colorado,1208095,1136354,47.2,44.4,361,210,177,58.17,49.03,84.29,184,-2.8,137.284
Connecticut,884432,668266,54.5,41.2,225,123,97,54.67,43.11,78.86,128,-13.3,573.363
Delaware,235581,185103,53.4,41.9,69,44,29,63.77,42.03,65.91,40,-11.5,483.345
District Of Columbia,260223,11553,92.8,4.1,55,40,34,72.73,61.82,85,21,-88.7,5483.434
Florida,4485745,4605515,47.8,49.1,1413,728,527,51.52,37.3,72.39,886,1.3,48.489999999999995
Georgia,1837300,2068623,45.6,51.3,923,511,401,55.36,43.45,78.47,522,5.7,247.66500000000002
Hawaii,251853,121648,62.3,30.1,108,38,23,35.19,21.3,60.53,85,-32.2,685.8600000000001
Idaho,189677,407199,27.6,59.2,153,79,68,51.63,44.44,86.08,85,31.6,1404.304
Illinois,2977498,2118179,55.4,39.4,1287,802,603,62.32,46.85,75.19,684,-16,749.6
Indiana,1031953,1556220,37.9,57.2,587,338,252,57.58,42.93,74.56,335,19.3,828.549
Iowa,650790,798923,42.2,51.8,278,142,105,51.08,37.77,73.94,173,9.6,362.59200000000004
Kansas,414788,656009,36.2,57.2,254,126,91,49.61,35.83,72.22,163,21,752.43
Kentucky,628834,1202942,32.7,62.5,384,249,207,64.84,53.91,83.13,177,29.8,1606.518
Louisiana,779535,1178004,38.4,58.1,453,283,225,62.47,49.67,79.51,228,19.7,978.499
Maine,354873,334838,47.9,45.2,100,63,49,63,49,77.78,51,-2.7,132.3
Maryland,1497951,873646,60.5,35.3,414,279,225,67.39,54.35,80.65,189,-25.2,1369.62
Massachusetts,1964768,1083069,60.8,33.5,555,298,238,53.69,42.88,79.87,317,-27.3,1170.624
Michigan,2268193,2279805,47.3,47.6,813,453,308,55.72,37.88,67.99,505,0.3,11.364
Minnesota,1366676,1322891,46.9,45.4,476,297,260,62.39,54.62,87.54,216,-1.5,81.92999999999999
Mississippi,462001,678457,39.7,58.3,279,170,130,60.93,46.59,76.47,149,18.6,866.5740000000002
Missouri,1054889,1585753,38,57.1,540,326,259,60.37,47.96,79.45,281,19.1,916.0360000000001
Montana,174521,274120,36,56.5,95,51,38,53.68,40,74.51,57,20.5,820
Nebraska,273858,485819,34,60.3,180,115,95,63.89,52.78,82.61,85,26.3,1388.114
Nevada,537753,511319,47.9,45.5,229,124,98,54.15,42.79,79.03,131,-2.4,102.696
New Hampshire,348521,345789,47.6,47.2,96,66,55,68.75,57.29,83.33,41,-0.4,22.916
New Jersey,2021756,1535513,55,41.8,750,419,305,55.87,40.67,72.79,445,-13.2,536.8439999999999
New Mexico,380724,315875,48.3,40,223,120,91,53.81,40.81,75.83,132,-8.3,338.72300000000007
New York,4143874,2640570,58.8,37.5,1590,832,607,52.33,38.18,72.96,983,-21.3,813.234
North Carolina,2162074,2339603,46.7,50.5,817,505,414,61.81,50.67,81.98,403,3.8,192.546
North Dakota,93526,216133,27.8,64.1,78,47,37,60.26,47.44,78.72,41,36.3,1722.072
Ohio,2317001,2771984,43.5,52.1,1060,576,425,54.34,40.09,73.78,635,8.6,344.774
Oklahoma,419788,947934,28.9,65.3,303,144,102,47.52,33.66,70.83,201,36.4,1225.224
Oregon,934631,742506,51.7,41.1,320,202,156,63.12,48.75,77.23,164,-10.6,516.75
Pennsylvania,2844705,2912941,47.6,48.8,1130,720,581,63.72,51.42,80.69,549,1.2,61.704
Rhode Island,249902,179421,55.4,39.8,69,43,34,62.32,49.28,79.07,35,-15.6,768.768
South Carolina,849469,1143611,40.8,54.9,332,185,146,55.72,43.98,78.92,186,14.1,620.1179999999999
South Dakota,117442,227701,31.7,61.5,81,41,26,50.62,32.1,63.41,55,29.8,956.58
Tennessee,867110,1517402,34.9,61.1,503,235,156,46.72,31.01,66.38,347,26.2,812.462
Texas,3867816,4681590,43.4,52.6,2175,1036,694,47.63,31.91,66.99,1481,9.2,293.572
Utah,274188,452086,27.8,45.9,326,171,142,52.45,43.56,83.04,184,18.1,788.4360000000001
Vermont,178179,95053,61.1,32.6,55,34,26,61.82,47.27,76.47,29,-28.5,1347.1950000000002
Virginia,1916845,1731156,49.9,45,737,501,447,67.98,60.65,89.22,290,-4.9,297.185
Washington,1610524,1129120,54.4,38.2,594,351,273,59.09,45.96,77.78,321,-16.2,744.552
West Virginia,187457,486198,26.5,68.7,153,78,50,50.98,32.68,64.1,103,42.2,1379.096
Wisconsin,1382210,1409467,46.9,47.9,530,269,249,50.75,46.98,92.57,281,1,46.98
Wyoming,55949,174248,22.5,70.1,55,33,30,60,54.55,90.91,25,47.6,2596.58
Puerto Rico,0,0,0,0,0,0,0,0,0,0,NA,0,0
